Time,x1,y1,x2,y2,x3,y3,E_kin,E_pot,E_vac,E_total,Drift_pct
0.000,+0.97000437,-0.24308753,-0.97000436,+0.24308753,+0.00000000,+0.00000000,12.128580,495.322855,412.499987,919.951423,0.00000000e+00
10000000.000,+39011919.73214706,-3245078.74411130,-31479528.38266745,+16889814.25216148,-7517172.40047100,-13670379.59732112,152.603748,0.000012,0.000000,152.603761,-8.34117588e+01
20000000.000,+78023843.51992469,-6490156.92000370,-62959060.96108834,+33779633.20460889,-15034344.64872204,-27340764.49137845,152.603750,0.000006,0.000000,152.603756,-8.34117593e+01
30000000.000,+117035767.40717441,-9735235.09081523,-94438593.66992502,+50669452.24954154,-22551516.89589344,-41011149.46770866,152.603750,0.000004,0.000000,152.603754,-8.34117595e+01
40000000.000,+156047691.37596637,-12980313.26707523,-125918126.38858347,+67559271.30533721,-30068689.14306485,-54681534.50060089,152.603751,0.000003,0.000000,152.603754,-8.34117596e+01
50000000.000,+195059615.34475833,-16225391.44333522,-157397659.10724190,+84449090.36113288,-37585861.39023625,-68351919.53349312,152.603751,0.000002,0.000000,152.603753,-8.34117597e+01
60000000.000,+234071539.31355029,-19470469.61959521,-188877191.82590035,+101338909.41692854,-45103033.63740765,-82022304.56638534,152.603751,0.000002,0.000000,152.603753,-8.34117597e+01
70000000.000,+273083463.24683481,-22715547.79585521,-220356724.54455879,+118228728.47272421,-52620205.88457906,-95692689.59927757,152.603751,0.000002,0.000000,152.603752,-8.34117597e+01
80000000.000,+312095386.91760355,-25960625.97211520,-251836257.26321724,+135118547.53646743,-60137378.13175046,-109363074.63216980,152.603751,0.000002,0.000000,152.603752,-8.34117598e+01
90000000.000,+351107310.58837229,-29205704.14837520,-283315789.98187566,+152008366.74127471,-67654550.37892187,-123033459.66506203,152.603751,0.000001,0.000000,152.603752,-8.34117598e+01
100000000.000,+390119234.25914103,-32450782.32463519,-314795322.70053411,+168898185.94608200,-75171722.62609327,-136703844.72505373,152.603751,0.000001,0.000000,152.603752,-8.34117598e+01
110000000.000,+429131157.92990977,-35695860.50089519,-346274855.41919255,+185788005.15088928,-82688894.87326467,-150374229.90695757,152.603751,0.000001,0.000000,152.603752,-8.34117598e+01
120000000.000,+468143081.60067850,-38940938.67715518,-377754388.13785100,+202677824.35569656,-90206067.12043607,-164044615.08886141,152.603751,0.000001,0.000000,152.603752,-8.34117598e+01
130000000.000,+507155005.27144724,-42186016.85341518,-409233920.85650945,+219567643.56050384,-97723239.36760747,-177715000.27076524,152.603751,0.000001,0.000000,152.603751,-8.34117598e+01
140000000.000,+546166929.08424580,-45431095.02967517,-440713453.57516789,+236457462.76531112,-105240411.61477888,-191385385.45266908,152.603751,0.000001,0.000000,152.603751,-8.34117598e+01
150000000.000,+585178853.35106099,-48676173.20593517,-472192986.29382634,+253347281.97011840,-112757583.86195028,-205055770.63457292,152.603751,0.000001,0.000000,152.603751,-8.34117598e+01
